Beholders Eye			Ender Eye
Blitzen Butcher			Diamond Axe
Butter Knife			Golden Sword
Christmas Tree Hachet		Diamond Axe
Cloud Breaker			Iron Sword
Commander's Rapier		Diamond Sword
Common Gem			Quartz
Crown Of King			Golden Helmet
Cupid Bow			Bow
Doubloon			Gold Nugget
Dragon Shield			Shield
Dream Crusher			Diamond Axe
Dwarven Greed			Diamond Axe
Enchanted Magma Rod		Blaze Rod
Event Ticket			Paper
Event Trophy			Diamond Sword
Evil Axe			Diamond Axe
Flame Walkers			Diamond Boots
Frost Shield			Shield
Golden Rod			Fishing Pole
Grapplinghook			Fishing Pole
Hell Slayer			Diamond Sword
HellBorn Bow			Bow
Hellborn Pickaxe		Diamond Pickaxe
Hellbound Shield		Shield
Ice Shield			Shield
Krampus Kleaver			Diamond Axe
Lieutenant's Cutlass		Diamond Sword
Light's Bane			Diamond Sword
Magic Wand			Blaze Rod
Molten Axe			Diamond Axe
Morph Shard			Diamond Sword
Mythical Spawn Egg		Spawn Egg
Nether Coin			Gold Nugget
Pet Permit			Paper
Pirate Bible			Written Book
Pratice Dummy			Armor Stand
Reapers Scythe			Diamond Hoe
Rudolph's Antler		Diamond Sword
Rudolphs Hide Shield		Shield
Rusted Key			Tripwire Hook
Sailor's Dirk			Diamond Sword
Saints Blade			Diamond Sword
Secret Sauce			Diamond Sword
Snowball Blocker		Shield
Soul Reaper			Diamond Sword
Soul Reaver			Diamond Axe
Soul Seeker			Bow
Soulles Sabre			Diamond Sword
Spirit Blade			Diamond Sword
TombStone			Shield
Tome Of Archer			Enchanted Book
Tome Of Kings			Enchanted Book
Tormented Slicer Of Herobrine	Diamond Sword
Treat Blade			Diamond Sword
Trickster Blade			Diamond Sword
Turkey Carver			Iron Sword
Wabbyjack Rod			Diamond Axe
			
			
